Track,Album_Name,Artist,Release_Date,All_Time_Spotify_Rank,Track_Score,Spotify_Streams,Spotify_Popularity,YouTube_Views,YouTube_Likes,Explicit_Track_Ratings,Shazam_Counts
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,1,725.4,"390,470,936",92.0,"84,274,754","1,713,126",0,"2,669,262"
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,2,545.9,"323,703,884",92.0,"116,347,040","3,486,739",1,"1,118,279"
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,3,538.4,"601,309,283",92.0,"122,599,116","2,228,730",0,"5,285,340"
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,4,444.9,"2,031,280,633",85.0,"1,096,100,899","10,629,796",0,"11,822,942"
Houdini,Houdini,Eminem,5/31/2024,5,423.3,"107,034,922",88.0,"77,373,957","3,670,188",1,"457,017"
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,6,410.1,"670,665,438",83.0,"131,148,091","1,392,593",1,"4,517,131"
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,7,407.2,"900,158,751",86.0,"308,723,145","4,120,760",0,"9,990,302"
Gata Only,Gata Only,FloyyMenor,2/2/2024,8,375.8,"675,079,153",92.0,"228,382,568","1,439,495",1,"6,063,523"
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,10,330.6,"90,676,573",86.0,"32,735,244","988,682",1,"666,302"
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,11,322.1,"250,080,413",91.0,"32,229,063","550,191",1,"963,413"
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,13,316.3,"221,636,195",92.0,"40,022,524","1,307,290",0,"450,344"
Like That,WE DON'T TRUST YOU,Future,3/22/2024,14,308.2,"355,186,436",88.0,"98,081,493","1,456,177",1,"1,963,314"
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,15,301.6,"297,185",12.0,"6,736,502,312","16,785,489",0,"3,288"
LALA,LALA - Single,Myke Towers,3/22/2023,16,299.9,"925,655,569",79.0,"934,302,031","4,294,166",1,"2,765,808"
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,17,297.6,"395,433,400",89.0,"104,673,836","2,484,083",0,"1,210,029"
greedy,greedy,Tate McRae,9/14/2023,18,293.7,"1,258,569,694",87.0,"141,646,818","1,514,837",1,"6,973,652"
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,19,292.6,"91,272,461",86.0,"16,038,053","569,377",0,"257,661"
As It Was,As It Was,Harry Styles,3/31/2022,20,292.0,"3,301,814,535",87.0,"800,899,315","9,101,589",0,"14,967,379"
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,21,290.5,"1,065,399,331",78.0,"240,970,670","2,749,668",1,"7,559,816"
Espresso,Espresso,Sabrina Carpenter,4/12/2024,22,281.5,"547,882,871",95.0,"107,550,212","1,825,761",1,"1,373,085"
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,24,278.9,"426,700,979",86.0,"35,724,356","437,980",1,"2,100,708"
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,26,268.1,"7,382,759",35.0,"4,233,958","69,990",0,"633,525"
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,28,265.7,"720,822,868",71.0,"16,322,756,555","48,757,673",0,"2,064,420"
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,29,262.8,"591,068,364",87.0,"156,882,014","3,080,503",0,"1,579,980"
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,32,237.5,"124,893,397",82.0,"359,896,095","4,907,193",0,"191,867"
Water,Water,Tyla,7/28/2023,33,234.6,"670,376,179",83.0,"265,180,930","2,566,846",0,"6,447,136"
Strangers,Strangers,Kenya Grace,9/1/2023,34,233.5,"750,154,960",79.0,"118,208,096","1,495,758",0,"7,477,917"
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,37,226.4,"311,928,522",96.0,"62,694,868","837,616",1,"1,707,213"
Lose Control,Lose Control,Teddy Swims,6/23/2023,38,224.1,"775,135,157",87.0,"139,180,960","1,504,385",0,"10,517,831"
fukumean,fukumean,Gunna,6/15/2023,39,221.1,"759,998,727",80.0,"94,699,547","1,222,012",1,"3,945,184"
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,40,214.5,"3,071,214,106",71.0,"3,366,447,481","27,240,268",0,"44,842,636"
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,41,212.8,"214,237,645",92.0,"11,033,725","251,373",0,"285,858"
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,43,209.6,"1,658,229,422",83.0,"466,080,689","4,324,989",1,"10,973,120"
Daylight,Daylight,David Kushner,4/14/2023,44,207.0,"1,126,820,069",82.0,"274,070,101","3,701,289",0,"8,681,350"
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,45,206.2,"997,702,304",86.0,"48,093,111","959,175",0,"2,682,219"
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,46,205.7,"59,314,441",83.0,"22,374,807","1,026,097",1,"47,115"
Houdini,Houdini - Single,Dua Lipa,11/9/2023,47,205.1,"493,627,071",80.0,"150,571,504","1,575,378",0,"2,389,957"
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,49,203.6,"304,929,492",69.0,"61,986,821","921,044",1,"2,227,494"
