OBJECTID,Academic Year,Fed ID,CDS Code,District Code,School Code,Region,County Name,District Name,School Name,School Type,Status,Open Date,Closed Date,School Level,Grade Low,Grade High,Charter,Charter Num,Funding Type,Virtual,Magnet,Title I,DASS,Assistance Status ESSA,Street,City,Zip,State,Locale,School Website,Enroll Total,African American,African American (%),American Indian,American Indian Pct,Asian,Asian (%),Filipino,Filipino (%),Hispanic,Hispanic (%),Pacific Islander,Pacific Islander (%),White,White (%),Two or More Races,Two or More Races (%),Not Reported,Not Reported (%),English Learner,English Learner (%),Foster,Foster (%),Homeless,Homeless (%),Migrant,Migrant (%),Socioeconomically Disadvantaged,Socioeconomically Disadvantaged (%),Students with Disabilities,Students with Disabilities (%),Free/Reduced Meal Eligible,Free/Reduced Meal Eligible (%),Grade TK,Grade KG,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Latitude,Longitude,CountyCodeGeo,CountyNameGeo,DistrictElemCodeGeo,DistrictElemNameGeo,DistrictHighCodeGeo,DistrictHighNameGeo,DistrictUnifiedCodeGeo,DistrictUnifiedNameGeo,CongUSGeo,SenateCAGeo,AssemblyCAGeo,x,y
4012,2024-25,62334003548,20652432035707,65243,2035707,7,Madera,Madera Unified,Madera High,High,Active,7/1/1980 12:00:00 AM,,High,09,12,N,,,N,N,Y,N,No Status,200 South L St.,Madera,93637-4650,CA,"23 - Suburban, Small",http://www.madera.k12.ca.us/mhs,1869,25,1.3,8,0.4,37,2.0,5,0.3,1625,86.9,1,0.1,136,7.3,16,0.9,16,0.9,269,14.4,9,0.5,39,2.1,41,2.2,1534,82.1,129,6.9,1528,81.8,0,0,0,0,0,0,0,0,0,0,576,484,419,390,36.95455304,-120.06484276,12,Madera,,,,,2065243.0,Madera Unified,13,14,27,-13365557.1581668,4432773.95893563
2030,2024-25,61005001102,19644361936418,64436,1936418,11,Los Angeles,Covina-Valley Unified,Northview High,High,Active,7/1/1980 12:00:00 AM,,High,09,12,N,,,N,N,N,N,No Status,1016 West Cypress Ave.,Covina,91722-3145,CA,"21 - Suburban, Large",http://www.nhsvikings.org,1247,28,2.2,2,0.2,44,3.5,29,2.3,1075,86.2,0,0.0,51,4.1,11,0.9,7,0.6,84,6.7,2,0.2,87,7.0,0,0.0,1000,80.2,154,12.3,984,78.9,0,0,0,0,0,0,0,0,0,0,309,301,323,314,34.09436888,-117.91109113,11,Los Angeles,,,,,1964436.0,Covina-Valley Unified,31,22,48,-13125802.6234164,4041480.51073648
1085,2024-25,61970002366,10622656006761,62265,6006761,7,Fresno,Kings Canyon Joint Unified,General Grant Middle,Middle,Active,7/1/1980 12:00:00 AM,,Middle,06,8,N,,,N,N,Y,N,No Status,360 North East Ave.,Reedley,93654-2510,CA,"32 - Town, Distant",http://www.kcusd.com,526,0,0.0,1,0.2,1,0.2,3,0.6,495,94.1,1,0.2,14,2.7,2,0.4,9,1.7,117,22.2,0,0.0,6,1.1,24,4.6,480,91.3,48,9.1,480,91.3,0,0,0,0,0,0,0,178,167,181,0,0,0,0,36.59930505,-119.44361262,39,Fresno,,,,,1062265.0,Kings Canyon Joint Unified,21,14,33,-13296402.1353461,4383401.27887654
8826,2024-25,63204004927,45701106050488,70110,6050488,2,Shasta,Redding Elementary,Juniper,Elementary,Active,7/1/1980 12:00:00 AM,,Elementary,KG,8,N,,,N,N,Y,N,No Status,375 Ellis St.,Redding,96001-3644,CA,"13 - City, Small",http://juniper.reddingschools.net,227,7,3.1,10,4.4,3,1.3,2,0.9,50,22.0,1,0.4,123,54.2,26,11.5,5,2.2,3,1.3,2,0.9,5,2.2,0,0.0,193,85.0,57,25.1,192,84.6,13,19,18,21,28,30,30,24,18,26,0,0,0,0,40.56284816,-122.38266657,26,Shasta,4570110.0,Redding Elementary,4570136.0,Shasta Union High,,,1,1,1,-13623576.1244412,4948074.13483084
933,2024-25,60903008466,10621176117550,62117,6117550,7,Fresno,Clovis Unified,Century Elementary,Elementary,Active,8/28/2000 12:00:00 AM,,Elementary,KG,6,N,,,N,N,N,N,No Status,965 North Sunnyside Ave.,Clovis,93611-8171,CA,"21 - Suburban, Large",,722,18,2.5,5,0.7,73,10.1,8,1.1,284,39.3,2,0.3,266,36.8,46,6.4,20,2.8,47,6.5,1,0.1,1,0.1,2,0.3,294,40.7,87,12.0,294,40.7,25,82,93,93,102,97,111,119,0,0,0,0,0,0,36.84763805,-119.69240269,39,Fresno,,,,,1062117.0,Clovis Unified,20,12,8,-13324097.3192296,4417890.72122522
8356,2024-25,60720000672,43693936046627,69393,6046627,5,Santa Clara,Campbell Union,Monroe Middle,Middle,Active,7/1/1980 12:00:00 AM,,Middle,06,8,Y,899.0,Locally funded,N,N,N,N,No Status,1055 South Monroe St.,San Jose,95128-3150,CA,"11 - City, Large",http://www.campbellusd.org,677,26,3.8,0,0.0,33,4.9,19,2.8,503,74.3,2,0.3,63,9.3,26,3.8,5,0.7,257,38.0,2,0.3,14,2.1,0,0.0,432,63.8,98,14.5,400,59.1,0,0,0,0,0,0,0,220,223,234,0,0,0,0,37.30820494,-121.94451309,53,Santa Clara,4369393.0,Campbell Union,4369401.0,Campbell Union High,,,16,15,26,-13574801.102154,4482154.09452269
5283,2024-25,60001303571,31750856111975,75085,6111975,3,Placer,Rocklin Unified,Breen Elementary,Elementary,Active,8/25/1994 12:00:00 AM,,Elementary,KG,6,N,,,N,N,N,N,No Status,2751 Breen Dr.,Rocklin,95765-5158,CA,"21 - Suburban, Large",http://www.rocklinusd.org,424,5,1.2,3,0.7,34,8.0,10,2.4,80,18.9,1,0.2,224,52.8,51,12.0,16,3.8,30,7.1,0,0.0,4,0.9,0,0.0,96,22.6,49,11.6,96,22.6,23,48,45,52,72,55,65,64,0,0,0,0,0,0,38.81810512,-121.25971316,17,Placer,,,,,3175085.0,Rocklin Unified,3,6,5,-13498569.5227118,4695650.08173974
2885,2024-25,62271002843,19647336015994,64733,6015994,11,Los Angeles,Los Angeles Unified,Beethoven Street Elementary,Elementary,Active,7/1/1947 12:00:00 AM,,Elementary,KG,5,N,,,N,N,Y,N,No Status,3711 Beethoven St.,Los Angeles,90066-3517,CA,"11 - City, Large",http://beethovenschool.org,315,17,5.4,0,0.0,11,3.5,0,0.0,185,58.7,2,0.6,80,25.4,9,2.9,11,3.5,25,7.9,0,0.0,2,0.6,0,0.0,194,61.6,49,15.6,193,61.3,29,43,41,36,40,58,68,0,0,0,0,0,0,0,34.00204584,-118.44332722,11,Los Angeles,,,,,1964733.0,Los Angeles Unified,36,28,55,-13185050.8739477,4029076.73579209
40,2024-25,60186007937,1611276116222,61127,6116222,4,Alameda,Albany City Unified,Ocean View Elementary,Elementary,Active,9/1/1999 12:00:00 AM,,Elementary,KG,5,N,,,N,N,Y,N,No Status,1000 Jackson St.,Albany,94706-1904,CA,"21 - Suburban, Large",http://ov.ausdk12.org/,563,25,4.4,1,0.2,190,33.7,5,0.9,130,23.1,0,0.0,88,15.6,54,9.6,70,12.4,134,23.8,0,0.0,6,1.1,0,0.0,266,47.2,59,10.5,264,46.9,59,71,71,99,74,105,84,0,0,0,0,0,0,0,37.88688996,-122.30137821,1,Alameda,,,,,161127.0,Albany City Unified,12,7,14,-13614527.1456253,4563459.45724854
1254,2024-25,60300010799,12626790109975,62679,109975,1,Humboldt,Arcata Elementary,Fuente Nueva Charter,Elementary,Active,8/29/2005 12:00:00 AM,,Elementary,KG,5,Y,744.0,Directly funded,N,N,Y,N,No Status,1730 Janes Rd.,Arcata,95521-9623,CA,"33 - Town, Remote",http://www.humboldt.k12.ca.us/fuentenueva/,150,1,0.7,2,1.3,0,0.0,0,0.0,66,44.0,0,0.0,55,36.7,24,16.0,2,1.3,3,2.0,0,0.0,1,0.7,0,0.0,68,45.3,19,12.7,68,45.3,22,24,23,19,17,24,21,0,0,0,0,0,0,0,40.87958304,-124.10049587,6,Humboldt,1262679.0,Arcata Elementary,1262687.0,Northern Humboldt Union High,,,2,2,2,-13814804.0074581,4994596.38171284
