Academic Year,County Name,District Name,School Name,School Type,Status,Open Date,City,Zip,Latitude,Longitude,Enroll Total,African American (%),Hispanic (%),Asian (%)
2024-25,Madera,Madera Unified,Madera High,High,Active,7/1/1980 12:00:00 AM,Madera,93637-4650,36.95455304,-120.06484276,1869,1.3,86.9,2.0
2024-25,Los Angeles,Covina-Valley Unified,Northview High,High,Active,7/1/1980 12:00:00 AM,Covina,91722-3145,34.09436888,-117.91109113,1247,2.2,86.2,3.5
2024-25,Fresno,Kings Canyon Joint Unified,General Grant Middle,Middle,Active,7/1/1980 12:00:00 AM,Reedley,93654-2510,36.59930505,-119.44361262,526,0.0,94.1,0.2
2024-25,Shasta,Redding Elementary,Juniper,Elementary,Active,7/1/1980 12:00:00 AM,Redding,96001-3644,40.56284816,-122.38266657,227,3.1,22.0,1.3
2024-25,Fresno,Clovis Unified,Century Elementary,Elementary,Active,8/28/2000 12:00:00 AM,Clovis,93611-8171,36.84763805,-119.69240269,722,2.5,39.3,10.1
2024-25,Santa Clara,Campbell Union,Monroe Middle,Middle,Active,7/1/1980 12:00:00 AM,San Jose,95128-3150,37.30820494,-121.94451309,677,3.8,74.3,4.9
2024-25,Placer,Rocklin Unified,Breen Elementary,Elementary,Active,8/25/1994 12:00:00 AM,Rocklin,95765-5158,38.81810512,-121.25971316,424,1.2,18.9,8.0
2024-25,Los Angeles,Los Angeles Unified,Beethoven Street Elementary,Elementary,Active,7/1/1947 12:00:00 AM,Los Angeles,90066-3517,34.00204584,-118.44332722,315,5.4,58.7,3.5
2024-25,Alameda,Albany City Unified,Ocean View Elementary,Elementary,Active,9/1/1999 12:00:00 AM,Albany,94706-1904,37.88688996,-122.30137821,563,4.4,23.1,33.7
2024-25,Humboldt,Arcata Elementary,Fuente Nueva Charter,Elementary,Active,8/29/2005 12:00:00 AM,Arcata,95521-9623,40.87958304,-124.10049587,150,0.7,44.0,0.0
2024-25,San Diego,SBE - Baypoint Preparatory Academy San Diego,Baypoint Preparatory Academy - San Diego,Elementary,Active,8/20/2018 12:00:00 AM,San Marcos,92078-3811,33.13860281,-117.15006693,162,3.7,55.6,4.9
2024-25,San Bernardino,Oro Grande,Mojave River Academy - Gold Canyon,K-12,Active,8/21/2018 12:00:00 AM,Fontana,92335-8200,34.0912639,-117.47211206,221,1.8,80.1,0.0
2024-25,Los Angeles,Lennox,"Lennox Mathematics, Science and Technology Academy",High,Active,8/13/2003 12:00:00 AM,Lennox,90304-2316,33.93511784,-118.3517982,588,0.2,99.1,0.0
2024-25,San Benito,Hollister,Maze Middle,Middle,Active,8/30/1994 12:00:00 AM,Hollister,95023-4107,36.85274294,-121.38551596,580,0.9,84.0,1.4
2024-25,Los Angeles,Azusa Unified,Valleydale Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Azusa,91702-5499,34.10910488,-117.91601214,526,0.8,89.0,0.8
2024-25,San Diego,Chula Vista Elementary,Chula Vista Hills Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Chula Vista,91910-7133,32.63677276,-117.00350687,430,1.4,69.8,3.7
2024-25,Los Angeles,Palos Verdes Peninsula Unified,Montemalaga Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Palos Verdes Estates,90274-1671,33.79070482,-118.39521219,416,1.2,14.9,40.6
2024-25,San Mateo,Ravenswood City Elementary,Costano Elementary,Elementary,Active,7/1/1980 12:00:00 AM,East Palo Alto,94303-1207,37.47812794,-122.13848514,369,7.3,72.9,0.8
2024-25,Los Angeles,Covina-Valley Unified,Rowland Avenue Elementary,Elementary,Active,7/1/1980 12:00:00 AM,West Covina,91790-1845,34.07992288,-117.91783813,423,0.9,77.1,11.8
2024-25,Riverside,Riverside Unified,Longfellow Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Riverside,92507-4161,33.9782049,-117.35941203,701,2.4,90.3,1.1
2024-25,Los Angeles,Little Lake City Elementary,Paddison Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Norwalk,90650-2443,33.92050485,-118.07561215,296,2.0,90.5,3.7
2024-25,San Joaquin,Stockton Unified,Taft Elementary,Elementary,Active,8/26/1992 12:00:00 AM,Stockton,95206-3743,37.91427604,-121.28469806,449,8.5,75.9,7.6
2024-25,Kern,Tehachapi Unified,Monroe High (Continuation),Continuation,Active,7/1/1980 12:00:00 AM,Tehachapi,93561-1513,35.12168796,-118.43448331,25,0.0,52.0,0.0
2024-25,Los Angeles,Norwalk-La Mirada Unified,Earl E. Edmondson Elementary,Elementary,Active,7/1/1980 12:00:00 AM,Norwalk,90650-6627,33.89340485,-118.07681215,352,1.4,92.3,2.3
2024-25,San Bernardino,Fontana Unified,Chaparral Academy of Technology,Elementary,Active,7/1/1980 12:00:00 AM,Fontana,92337-0640,34.0447439,-117.49989106,205,4.4,86.3,1.5
2024-25,Santa Clara,Evergreen Elementary,Quimby Oak Middle,Middle,Active,7/1/1980 12:00:00 AM,San Jose,95148-3022,37.32400495,-121.78581307,857,0.7,24.5,59.3
2024-25,Tulare,Tulare County Office of Education,Eleanor Roosevelt Community Learning Center,K-12,Active,8/13/2001 12:00:00 AM,Visalia,93292-9585,36.35553604,-119.17173455,467,1.5,45.2,1.3
2024-25,Los Angeles,Los Angeles Unified,Kittridge Street Elementary,Elementary,Active,7/1/1957 12:00:00 AM,Van Nuys,91401-1113,34.19093686,-118.42993223,768,1.0,57.6,1.6
2024-25,San Diego,Fallbrook Union Elementary,Santa Margarita Academy,Community Day,Active,8/28/2007 12:00:00 AM,Fallbrook,92028-2108,33.38010283,-117.25515097,3,0.0,100.0,0.0
2024-25,Sierra,Sierra-Plumas Joint Unified,Sierra Pass (Continuation),Continuation,Active,8/25/1997 12:00:00 AM,Loyalton,96118-0037,39.67952527,-120.24533411,5,0.0,20.0,0.0
2024-25,Los Angeles,Los Angeles Unified,West Athens Elementary,Elementary,Active,7/1/1907 12:00:00 AM,Los Angeles,90044-6504,33.92433884,-118.29394019,545,26.2,66.8,0.2
